col1,col2,col3,col4
-0.97,-0.18,0.14,0.17
0.0,0.0,0.0,1.0
0.17,-0.95,0.25,0.26
0.18,0.27,0.95,1.49
-0.97,-0.12,0.21,0.17
0.0,0.0,0.0,1.0
0.15,-0.96,0.23,0.26
0.28,0.26,0.92,1.49
-0.95,-0.08,0.31,0.17
0.0,0.0,0.0,1.0
0.08,-0.99,0.11,0.27
0.06,0.12,0.99,1.5
-0.99,-0.07,0.07,0.18
0.0,0.0,0.0,1.0
0.09,-0.95,0.31,0.27
0.27,0.32,0.91,1.49
-0.96,0.01,0.29,0.18
0.0,0.0,0.0,1.0
-0.02,-1.0,0.06,0.27
-0.0,0.06,1.0,1.5
-1.0,0.02,-0.0,0.19
0.0,0.0,0.0,1.0
-0.09,-0.99,0.05,0.27
-0.0,0.05,1.0,1.5
-1.0,0.09,-0.01,0.18
0.0,0.0,0.0,1.0
-0.08,-0.93,0.36,0.27
0.27,0.33,0.9,1.5
-0.96,0.17,0.23,0.18
0.0,0.0,0.0,1.0
-0.1,-0.91,0.41,0.27
0.32,0.36,0.88,1.49
-0.94,0.22,0.26,0.18
0.0,0.0,0.0,1.0
-0.14,-0.91,0.4,0.27
0.34,0.34,0.88,1.49
-0.93,0.26,0.26,0.17
0.0,0.0,0.0,1.0
-0.19,-0.87,0.45,0.27
0.35,0.37,0.86,1.49
-0.92,0.32,0.24,0.17
0.0,0.0,0.0,1.0
-0.23,-0.84,0.5,0.28
0.39,0.39,0.83,1.49
-0.89,0.39,0.24,0.17
0.0,0.0,0.0,1.0
-0.27,-0.8,0.53,0.28
0.41,0.4,0.82,1.48
-0.87,0.44,0.22,0.17
0.0,0.0,0.0,1.0
-0.28,-0.78,0.55,0.28
0.43,0.41,0.8,1.48
-0.86,0.46,0.22,0.17
0.0,0.0,0.0,1.0
-0.26,-0.8,0.54,0.29
0.41,0.42,0.81,1.48
-0.88,0.43,0.21,0.18
0.0,0.0,0.0,1.0
-0.21,-0.83,0.52,0.29
0.34,0.43,0.83,1.48
-0.92,0.35,0.2,0.19
0.0,0.0,0.0,1.0
-0.1,-0.87,0.49,0.29
0.28,0.45,0.85,1.48
-0.95,0.22,0.2,0.21
0.0,0.0,0.0,1.0
0.08,-0.9,0.42,0.28
0.17,0.43,0.89,1.47
-0.98,-0.0,0.18,0.23
0.0,0.0,0.0,1.0
0.35,-0.92,0.18,0.26
-0.01,0.19,0.98,1.48
-0.94,-0.34,0.06,0.27
0.0,0.0,0.0,1.0
0.64,-0.77,0.04,0.2
0.27,0.28,0.92,1.47
-0.72,-0.58,0.39,0.3
0.0,0.0,0.0,1.0
0.77,-0.61,0.18,0.12
-0.13,0.13,0.98,1.47
-0.62,-0.78,0.02,0.32
0.0,0.0,0.0,1.0
0.91,-0.42,-0.05,0.02
0.16,0.25,0.96,1.48
-0.39,-0.87,0.29,0.34
0.0,0.0,0.0,1.0
0.93,-0.28,-0.22,-0.12
0.31,0.34,0.89,1.45
-0.18,-0.9,0.4,0.31
0.0,0.0,0.0,1.0
0.92,-0.17,-0.35,-0.25
0.38,0.24,0.89,1.43
-0.07,-0.95,0.29,0.27
0.0,0.0,0.0,1.0
0.94,-0.12,-0.33,-0.35
0.34,0.13,0.93,1.41
-0.07,-0.98,0.16,0.21
0.0,0.0,0.0,1.0
0.87,-0.11,-0.49,-0.42
0.5,0.19,0.84,1.36
-0.0,-0.97,0.22,0.16
0.0,0.0,0.0,1.0
0.96,-0.02,-0.28,-0.49
0.28,0.02,0.96,1.36
-0.02,-1.0,0.02,0.11
0.0,0.0,0.0,1.0
0.94,-0.03,-0.35,-0.54
0.35,0.06,0.94,1.35
-0.01,-1.0,0.07,0.08
0.0,0.0,0.0,1.0
0.91,-0.02,-0.41,-0.58
0.41,0.06,0.91,1.35
0.01,-1.0,0.06,0.06
0.0,0.0,0.0,1.0
0.93,-0.03,-0.38,-0.61
0.38,0.13,0.92,1.34
0.02,-0.99,0.13,0.04
0.0,0.0,0.0,1.0
0.89,0.01,-0.45,-0.64
0.45,0.1,0.89,1.34
0.05,-1.0,0.08,0.02
0.0,0.0,0.0,1.0
0.91,-0.03,-0.41,-0.66
0.41,0.11,0.9,1.33
0.02,-0.99,0.12,-0.01
0.0,0.0,0.0,1.0
0.9,-0.03,-0.42,-0.67
0.42,0.17,0.89,1.32
0.04,-0.98,0.17,-0.04
0.0,0.0,0.0,1.0
0.87,-0.04,-0.48,-0.67
0.48,0.17,0.86,1.32
0.05,-0.98,0.17,-0.04
0.0,0.0,0.0,1.0
0.87,-0.05,-0.5,-0.67
0.5,0.17,0.85,1.32
0.04,-0.98,0.17,-0.04
0.0,0.0,0.0,1.0
0.87,-0.05,-0.49,-0.67
0.49,0.18,0.85,1.32
0.05,-0.98,0.18,-0.04
0.0,0.0,0.0,1.0
0.85,-0.04,-0.53,-0.67
0.53,0.16,0.83,1.32
0.05,-0.99,0.16,-0.04
0.0,0.0,0.0,1.0
0.89,-0.05,-0.46,-0.67
0.46,0.19,0.87,1.32
0.04,-0.98,0.19,-0.04
0.0,0.0,0.0,1.0
0.9,0.09,-0.43,-0.67
0.44,-0.08,0.9,1.33
0.04,-0.99,-0.11,-0.04
0.0,0.0,0.0,1.0
0.9,-0.04,-0.44,-0.67
0.44,0.17,0.88,1.32
0.04,-0.98,0.17,-0.04
0.0,0.0,0.0,1.0
0.89,-0.06,-0.46,-0.67
0.46,0.2,0.86,1.32
0.04,-0.98,0.21,-0.04
0.0,0.0,0.0,1.0
0.89,-0.05,-0.46,-0.67
0.46,0.19,0.87,1.32
0.04,-0.98,0.19,-0.04
0.0,0.0,0.0,1.0
0.9,-0.05,-0.44,-0.67
0.44,0.19,0.88,1.32
0.04,-0.98,0.19,-0.04
0.0,0.0,0.0,1.0
0.87,-0.04,-0.49,-0.67
0.49,0.16,0.85,1.32
0.05,-0.99,0.16,-0.04
0.0,0.0,0.0,1.0
0.85,-0.04,-0.52,-0.67
0.52,0.16,0.84,1.32
0.05,-0.99,0.16,-0.04
0.0,0.0,0.0,1.0
0.93,-0.03,-0.38,-0.67
0.38,0.16,0.91,1.32
0.04,-0.99,0.15,-0.04
0.0,0.0,0.0,1.0
0.87,0.1,-0.48,-0.67
0.49,-0.1,0.87,1.33
0.04,-0.99,-0.14,-0.04
0.0,0.0,0.0,1.0
0.87,0.08,-0.48,-0.68
0.49,-0.06,0.87,1.33
0.04,-0.99,-0.1,-0.04
0.0,0.0,0.0,1.0
0.87,-0.04,-0.49,-0.67
0.49,0.15,0.86,1.32
0.05,-0.99,0.15,-0.04
0.0,0.0,0.0,1.0
0.89,0.11,-0.45,-0.67
0.46,-0.11,0.88,1.33
0.05,-0.99,-0.14,-0.04
0.0,0.0,0.0,1.0
0.91,-0.04,-0.41,-0.67
0.41,0.18,0.89,1.32
0.04,-0.98,0.18,-0.04
0.0,0.0,0.0,1.0
0.92,-0.01,-0.38,-0.67
0.38,0.12,0.92,1.32
0.04,-0.99,0.12,-0.04
0.0,0.0,0.0,1.0
0.89,-0.03,-0.45,-0.67
0.45,0.15,0.88,1.32
0.04,-0.99,0.14,-0.04
0.0,0.0,0.0,1.0
0.88,-0.04,-0.48,-0.67
0.48,0.16,0.86,1.32
0.04,-0.99,0.16,-0.04
0.0,0.0,0.0,1.0
0.87,-0.04,-0.49,-0.67
0.49,0.16,0.86,1.32
0.05,-0.99,0.15,-0.04
0.0,0.0,0.0,1.0
0.9,0.05,-0.43,-0.68
0.43,0.0,0.9,1.33
0.04,-1.0,-0.02,-0.04
0.0,0.0,0.0,1.0
0.93,-0.01,-0.36,-0.67
0.36,0.14,0.92,1.32
0.04,-0.99,0.13,-0.04
0.0,0.0,0.0,1.0
0.92,-0.01,-0.38,-0.67
0.38,0.12,0.92,1.32
0.04,-0.99,0.12,-0.04
0.0,0.0,0.0,1.0
0.9,-0.02,-0.44,-0.67
0.43,0.14,0.89,1.32
0.04,-0.99,0.13,-0.04
0.0,0.0,0.0,1.0
0.87,0.1,-0.49,-0.68
0.49,-0.09,0.86,1.33
0.04,-0.99,-0.13,-0.04
0.0,0.0,0.0,1.0
0.89,0.1,-0.45,-0.67
0.46,-0.1,0.88,1.33
0.04,-0.99,-0.14,-0.04
0.0,0.0,0.0,1.0
0.87,0.1,-0.48,-0.67
0.49,-0.09,0.87,1.33
0.04,-0.99,-0.13,-0.04
0.0,0.0,0.0,1.0
0.9,-0.02,-0.44,-0.67
0.44,0.15,0.89,1.32
0.04,-0.99,0.15,-0.04
0.0,0.0,0.0,1.0
