col1,col2,col3,col4
0.95,0.06,-0.3,-0.35
0.31,-0.12,0.94,0.78
0.02,-0.99,-0.14,-0.11
0.0,0.0,0.0,1.0
0.94,-0.01,-0.33,0.26
0.33,-0.0,0.94,0.98
-0.01,-1.0,-0.0,-0.03
0.0,0.0,0.0,1.0
