0.350191,-0.947068,-0.013834,0.50143
-0.920582,-0.353779,0.17703,-0.118305
-0.183966,-0.035444,-0.97382,0.450693
0,0,0,1
0.36014,-0.936945,-0.003745,0.490322
-0.920484,-0.353777,0.167019,-0.117304
-0.164136,-0.045446,-0.983854,0.451789
0,0,0,1
0.39578,-0.918495,-0.006177,0.550796
-0.899279,-0.403548,0.090777,-0.299201
-0.080216,-0.026595,-1.00501,0.524085
0,0,0,1
0.477,-0.888856,-0.045725,0.504696
-0.84891,-0.482624,0.189611,-0.319622
-0.191091,-0.046661,-0.984946,0.461892
0,0,0,1
0.47714,-0.878795,-0.05571,0.50576
-0.838961,-0.482548,0.199452,-0.320623
-0.211205,-0.046693,-0.98493,0.451842
0,0,0,1
0.347591,-0.928512,-0.164801,0.51704
-0.789932,-0.393723,0.446381,-0.346156
-0.482192,-0.01653,-0.884488,0.441456
0,0,0,1
0.357932,-0.918495,-0.184759,0.519104
-0.769958,-0.403548,0.475948,-0.349213
-0.522452,-0.026595,-0.864374,0.439376
0,0,0,1
0.396412,-0.918463,-0.055514,0.50574
-0.879205,-0.403532,0.229187,-0.323698
-0.230983,-0.036644,-0.974929,0.450808
0,0,0,1
0.169637,-0.69018,0.708883,0.426701
0.21793,-0.679956,-0.688858,-0.228772
0.963808,0.274587,0.039044,0.345963
0,0,0,1
0.416198,-0.80946,0.420178,0.456554
-0.523577,-0.591231,-0.59074,-0.238917
0.733081,0.033651,-0.683716,0.420696
0,0,0,1
-0.435404,-0.909046,0.051721,0.494652
0.7511,-0.354383,0.534554,-0.355273
-0.472111,0.284812,0.843092,0.262824
0,0,0,1
1,-1.8366e-06,9.70412e-17,0.30689
-1.8366e-06,-1,0,0
9.70412e-17,-1.78226e-22,-1,0.64128
0,0,0,1
