-0.00157897,-0.781574,0.000928803,-2.35543,0.0013477,1.57322,0.790551
-0.00472547,-0.773955,0.00273506,-2.35388,0.00399534,1.57801,0.800762
-0.00939689,-0.76263,0.00532979,-2.35153,0.0078525,1.58511,0.815847
-0.0155201,-0.747736,0.0085913,-2.3483,0.012792,1.59436,0.835535
-0.0214817,-0.733112,0.0116586,-2.34498,0.0175146,1.60334,0.854737
-0.0272858,-0.718758,0.0145392,-2.34157,0.0220311,1.61205,0.873466
-0.0329365,-0.704679,0.0172406,-2.33808,0.0263516,1.6205,0.891737
-0.0398319,-0.68744,0.020356,-2.33367,0.0314892,1.63074,0.913963
-0.0464978,-0.670634,0.0232183,-2.32918,0.0363555,1.64061,0.935516
-0.0529417,-0.654258,0.0258407,-2.32464,0.0409679,1.65011,0.956417
-0.0591703,-0.63831,0.0282361,-2.32006,0.0453428,1.65925,0.97669
-0.0651904,-0.622787,0.0304169,-2.31546,0.0494957,1.66805,0.996356
-0.0710088,-0.607683,0.032395,-2.31085,0.0534412,1.67653,1.01543
-0.0766318,-0.592993,0.0341818,-2.30625,0.057193,1.6847,1.03394
-0.0820658,-0.57871,0.0357886,-2.30167,0.060764,1.69257,1.0519
-0.087317,-0.564827,0.0372259,-2.29712,0.0641661,1.70016,1.06933
-0.0934208,-0.548663,0.0387288,-2.29174,0.0680423,1.70893,1.08958
-0.0992774,-0.533052,0.0400203,-2.28642,0.0717101,1.71733,1.10912
-0.104897,-0.51798,0.0411163,-2.28118,0.0751859,1.72537,1.12798
-0.11029,-0.503431,0.0420316,-2.27602,0.0784849,1.73307,1.14617
-0.115464,-0.489391,0.0427804,-2.27097,0.0816208,1.74046,1.16373
-0.120431,-0.475843,0.0433758,-2.26601,0.0846064,1.74753,1.18067
-0.126004,-0.460619,0.0438838,-2.26039,0.0879168,1.75546,1.19972
-0.131316,-0.446022,0.0442197,-2.25491,0.0910551,1.763,1.218
-0.136381,-0.432027,0.0444004,-2.24959,0.094036,1.7702,1.23554
-0.141212,-0.418612,0.044442,-2.24444,0.096873,1.77707,1.25238
-0.14582,-0.405752,0.044359,-2.23944,0.0995777,1.78363,1.26855
-0.150854,-0.391688,0.0441209,-2.23393,0.102523,1.79078,1.28626
-0.155626,-0.378288,0.043757,-2.22864,0.105324,1.79758,1.30316
-0.160151,-0.365521,0.0432838,-2.22355,0.107992,1.80403,1.3193
-0.164989,-0.351857,0.0426323,-2.21807,0.110851,1.81094,1.33662
-0.169549,-0.338916,0.0418817,-2.21285,0.11357,1.81747,1.35306
-0.173851,-0.326659,0.0410492,-2.20787,0.11616,1.82364,1.36867
-0.178369,-0.313775,0.0400393,-2.20262,0.118901,1.83014,1.38513
-0.182607,-0.301641,0.038966,-2.19765,0.121507,1.83625,1.40068
-0.186989,-0.289085,0.0377237,-2.1925,0.124233,1.84259,1.41681
-0.191456,-0.276274,0.0363174,-2.18723,0.127051,1.84908,1.43334
-0.195601,-0.264343,0.0348852,-2.18231,0.129716,1.85512,1.44878
-0.199776,-0.252317,0.033316,-2.17734,0.132444,1.86123,1.4644
-0.203933,-0.240333,0.0316264,-2.1724,0.135213,1.86734,1.48003
-0.208029,-0.228516,0.0298366,-2.16752,0.137997,1.87338,1.49549
-0.212025,-0.216977,0.0279699,-2.16276,0.140772,1.87931,1.51066
-0.215889,-0.205812,0.0260514,-2.15817,0.143516,1.88507,1.52539
-0.219591,-0.195103,0.0241069,-2.15376,0.146207,1.89062,1.53957
-0.223111,-0.184914,0.0221622,-2.14957,0.148826,1.89592,1.55311
-0.226431,-0.175295,0.0202417,-2.14563,0.151353,1.90095,1.56593
-0.22954,-0.166284,0.0183678,-2.14194,0.153773,1.90569,1.57799
-0.232428,-0.157903,0.0165603,-2.13851,0.156071,1.91011,1.58923
-0.235095,-0.150162,0.0148359,-2.13535,0.158237,1.91421,1.59965
-0.237538,-0.143063,0.013208,-2.13246,0.160261,1.91798,1.60922
-0.239762,-0.136595,0.0116868,-2.12983,0.162137,1.92143,1.61797
-0.241774,-0.130742,0.010279,-2.12745,0.163863,1.92456,1.62589
-0.243581,-0.125481,0.00898832,-2.12532,0.165438,1.92738,1.63303
-0.245193,-0.120782,0.00781579,-2.12341,0.166863,1.92991,1.63941
-0.246623,-0.116613,0.00675989,-2.12172,0.168143,1.93216,1.64509
-0.247882,-0.112937,0.00581715,-2.12023,0.169284,1.93414,1.65009
-0.248984,-0.109719,0.0049824,-2.11893,0.170292,1.93589,1.65448
-0.249942,-0.106918,0.00424926,-2.1178,0.171177,1.9374,1.6583
-0.250769,-0.104497,0.00361047,-2.11682,0.171947,1.93872,1.6616
-0.251479,-0.102418,0.0030582,-2.11598,0.172613,1.93984,1.66444
-0.252085,-0.100645,0.00258438,-2.11526,0.173184,1.94081,1.66686
-0.252598,-0.0991416,0.00218091,-2.11465,0.17367,1.94162,1.66892
-0.253029,-0.0978759,0.0018399,-2.11414,0.174081,1.94231,1.67065
-0.25339,-0.0968175,0.00155379,-2.11371,0.174426,1.94289,1.67209
-0.253689,-0.0959381,0.00131547,-2.11335,0.174713,1.94337,1.6733
-0.253936,-0.0952125,0.0011184,-2.11306,0.174951,1.94376,1.67429
-0.254139,-0.0946177,0.000956582,-2.11282,0.175146,1.94408,1.6751
-0.254304,-0.0941335,0.000824664,-2.11262,0.175305,1.94435,1.67576
-0.254437,-0.0937419,0.000717878,-2.11246,0.175434,1.94456,1.6763
-0.254544,-0.0934275,0.000632044,-2.11233,0.175537,1.94473,1.67673
-0.254629,-0.0931767,0.000563536,-2.11223,0.17562,1.94487,1.67707
-0.254696,-0.092978,0.00050924,-2.11215,0.175685,1.94498,1.67734
-0.25475,-0.0928217,0.000466509,-2.11209,0.175737,1.94506,1.67756
-0.254791,-0.0926996,0.000433116,-2.11204,0.175777,1.94513,1.67772
-0.254823,-0.0926049,0.000407203,-2.112,0.175808,1.94518,1.67785
-0.254848,-0.092532,0.000387237,-2.11197,0.175832,1.94522,1.67795
-0.254867,-0.0924761,0.000371961,-2.11195,0.175851,1.94525,1.67803
-0.255883,-0.0899416,-0.000475771,-2.11114,0.176756,1.94688,1.68159
-0.255882,-0.0903476,-0.000475597,-2.11159,0.176684,1.94709,1.68142
-0.255881,-0.0909506,-0.000475389,-2.11224,0.176576,1.94739,1.68118
-0.25588,-0.0917425,-0.000475209,-2.11311,0.176434,1.94778,1.68085
-0.255879,-0.0927125,-0.000475132,-2.11417,0.176261,1.94826,1.68045
-0.255877,-0.0938475,-0.00047524,-2.11541,0.176059,1.94882,1.67998
-0.255876,-0.0951318,-0.000475621,-2.11681,0.17583,1.94946,1.67945
-0.255874,-0.0965482,-0.000476359,-2.11835,0.175577,1.95016,1.67887
-0.255873,-0.0980778,-0.000477531,-2.12002,0.175305,1.95092,1.67824
-0.255872,-0.0997009,-0.000479202,-2.12179,0.175016,1.95172,1.67757
-0.255871,-0.101397,-0.000481419,-2.12364,0.174714,1.95256,1.67687
-0.255871,-0.103145,-0.00048421,-2.12554,0.174403,1.95343,1.67614
-0.25587,-0.104926,-0.000487582,-2.12747,0.174087,1.9543,1.67541
-0.255871,-0.106719,-0.00049152,-2.12942,0.173769,1.95518,1.67467
-0.255871,-0.108505,-0.000495988,-2.13136,0.173452,1.95606,1.67393
-0.255872,-0.110268,-0.00050093,-2.13327,0.17314,1.95693,1.6732
-0.255873,-0.111991,-0.000506277,-2.13514,0.172834,1.95777,1.67248
-0.255874,-0.11366,-0.000511944,-2.13694,0.172539,1.95858,1.67179
-0.255875,-0.115263,-0.000517842,-2.13868,0.172256,1.95937,1.67113
-0.255877,-0.116791,-0.000523876,-2.14033,0.171986,1.96011,1.67049
