0.35,-0.94,-0.02,0.514501
-0.92,-0.35,0.18,-0.114938
-0.18,-0.04,-0.98,0.454389
0,0,0,1
0.36,-0.93,-0.01,0.503467
-0.92,-0.35,0.17,-0.113904
-0.16,-0.05,-0.99,0.455423
0,0,0,1
0.4,-0.91,-0.01,0.545771
-0.91,-0.4,0.09,-0.302291
-0.08,-0.03,-1,0.502539
0,0,0,1
0.48,-0.88,-0.05,0.499907
-0.86,-0.48,0.19,-0.322631
-0.19,-0.05,-0.98,0.440471
0,0,0,1
0.48,-0.87,-0.06,0.500941
-0.85,-0.48,0.2,-0.323665
-0.21,-0.05,-0.98,0.430471
0,0,0,1
0.35,-0.92,-0.17,0.512315
-0.8,-0.39,0.45,-0.349515
-0.48,-0.02,-0.88,0.420131
0,0,0,1
0.36,-0.91,-0.19,0.514383
-0.78,-0.4,0.48,-0.352617
-0.52,-0.03,-0.86,0.418063
0,0,0,1
0.4,-0.91,-0.06,0.500941
-0.89,-0.4,0.23,-0.326767
-0.23,-0.04,-0.97,0.429437
0,0,0,1
0.17,-0.68,0.71,0.421323
0.22,-0.68,-0.7,-0.230605
0.96,0.27,0.04,0.325003
0,0,0,1
0.42,-0.8,0.42,0.451309
-0.53,-0.59,-0.6,-0.240945
0.73,0.03,-0.68,0.399451
0,0,0,1
-0.44,-0.9,0.05,0.489567
0.76,-0.35,0.54,-0.358821
-0.47,0.28,0.84,0.242283
0,0,0,1
